,orderId,orderDate,orderStatus,name,sku,quantity,amountPaid,TwoPacksSold,totalAmountPaid,total2PacksSold
0,902243115,2021-08-14T10:06:44.0000000,shipped,Saucemoto® Dip Clip - Black / 2-Pack,M1030-2,1,9.75,1.0,,
1,902311515,2021-08-14T13:45:54.0000000,shipped,Saucemoto® Dip Clip | An in-car sauce holder for ketchup and dipping sauces | As seen on Shark Tank,M1030-02/BLK,1,14.11,1.0,,
2,902378597,2021-08-14T14:27:00.0000000,shipped,"Saucemoto Dip Clip | An in-car sauce holder for ketchup and dipping sauces. As seen on Shark Tank (2 Pack, Barbie-Q-Pink)",M1070-02/PNK,1,14.99,1.0,,
3,902378505,2021-08-14T16:25:35.0000000,shipped,Saucemoto® Dip Clip - Red / 2-Pack,M1010-2,1,15.6,1.0,,
4,902898736,2021-08-15T18:38:44.0000000,shipped,Saucemoto® Dip Clip | An in-car sauce holder for ketchup and dipping sauces | As seen on Shark Tank,M1030-02/BLK,1,14.06,1.0,,
5,903404227,2021-08-16T11:46:00.0000000,shipped,"Saucemoto Dip Clip | An in-car sauce holder for ketchup and dipping sauces. As seen on Shark Tank (2 Pack, Barbie-Q-Pink)",M1070-02/PNK,1,21.07,1.0,,
6,903632294,2021-08-16T19:17:00.0000000,shipped,Saucemoto® Dip Clip - Red / 4-Pack,M1010-4,1,26.29,2.0,,
7,903690126,2021-08-16T22:45:16.0000000,shipped,Saucemoto® Dip Clip - Red / 2-Pack,M1010-2,1,9.75,1.0,,
8,904270335,2021-08-17T20:34:30.0000000,shipped,Saucemoto® Dip Clip | An in-car sauce holder for ketchup and dipping sauces | As seen on Shark Tank,M1030-02/BLK,1,14.03,1.0,,
9,904595770,2021-08-18T10:54:00.0000000,shipped,"Saucemoto Dip Clip | An in-car sauce holder for ketchup and dipping sauces. As seen on Shark Tank (2 Pack, Barbie-Q-Pink)",M1070-02/PNK,1,11.99,1.0,,
10,904689793,2021-08-18T14:00:00.0000000,shipped,Saucemoto® Dip Clip - Red / 10-Pack,M1010-10/RED,1,26.99,5.0,,
11,904758843,2021-08-18T16:31:30.0000000,shipped,Saucemoto® Dip Clip - Red / 10-Pack,M1010-10/RED,1,28.24,5.0,,
12,904823563,2021-08-18T19:10:11.0000000,shipped,Saucemoto® Dip Clip - Red / 2-Pack,M1010-2,1,9.75,1.0,,
13,904867194,2021-08-18T20:28:00.0000000,shipped,"Saucemoto Dip Clip | An in-car sauce holder for ketchup and dipping sauces. As seen on Shark Tank (10 Pack, Black)",M1030-10/BLK,1,27.99,5.0,,
14,905194469,2021-08-19T10:45:00.0000000,shipped,"Saucemoto Dip Clip | An in-car sauce holder for ketchup and dipping sauces. As seen on Shark Tank (10 Pack, Black)",M1030-10/BLK,1,27.99,5.0,,
15,905790662,2021-08-20T11:07:00.0000000,shipped,"Saucemoto Dip Clip | An in-car sauce holder for ketchup and dipping sauces. As seen on Shark Tank (10 Pack, Black)",M1030-10/BLK,1,27.99,5.0,,
16,905790614,2021-08-20T12:13:47.0000000,shipped,Saucemoto® Dip Clip | An in-car sauce holder for ketchup and dipping sauces | As seen on Shark Tank,M1010-02/RED,1,14.03,1.0,,
17,906022004,2021-08-20T18:27:00.0000000,shipped,"Saucemoto Dip Clip | An in-car sauce holder for ketchup and dipping sauces. As seen on Shark Tank (2 Pack, Barbie-Q-Pink)",M1070-02/PNK,1,14.99,1.0,,
18,906248855,2021-08-21T11:19:00.0000000,shipped,"Saucemoto Dip Clip | An in-car sauce holder for ketchup and dipping sauces. As seen on Shark Tank (10 Pack, Black)",M1030-10/BLK,1,29.99,5.0,,
19,906415415,2021-08-21T18:32:13.0000000,shipped,Extra Sauce Cup,M1000,1,12.74,0,,
20,906472473,2021-08-22T00:57:00.0000000,shipped,"Saucemoto Dip Clip | An in-car sauce holder for ketchup and dipping sauces. As seen on Shark Tank (2 Pack, Barbie-Q-Pink)",M1070-02/PNK,1,14.99,1.0,,
21,906603636,2021-08-22T10:37:00.0000000,shipped,"Saucemoto Dip Clip | An in-car sauce holder for ketchup and dipping sauces. As seen on Shark Tank (10 Pack, Black)",M1030-10/BLK,1,27.99,5.0,,
22,906673257,2021-08-22T11:44:00.0000000,shipped,Saucemoto® Dip Clip - Red / 10-Pack,M1010-10/RED,1,26.99,5.0,,
23,906746857,2021-08-22T14:16:00.0000000,shipped,"Saucemoto Dip Clip | An in-car sauce holder for ketchup and dipping sauces. As seen on Shark Tank (10 Pack, Black)",M1030-10/BLK,1,27.99,5.0,,
24,906746861,2021-08-22T15:40:00.0000000,shipped,Saucemoto® Dip Clip - Black / 4-Pack,M1030-4-JP,1,18.99,2.0,,
25,906746781,2021-08-22T15:41:59.0000000,shipped,Saucemoto® Dip Clip - Black / 2-Pack,M1030-2,1,9.75,1.0,,
26,906746777,2021-08-22T15:43:50.0000000,shipped,Saucemoto® Easy Gift Pack - Chick-fil-A / Red,RED/02+CFA10,1,17.6,1.0,,
27,906746859,2021-08-22T15:45:00.0000000,shipped,"Saucemoto Dip Clip | An in-car sauce holder for ketchup and dipping sauces. As seen on Shark Tank (10 Pack, Black)",M1030-10/BLK,1,27.99,5.0,,
28,906746771,2021-08-22T15:45:07.0000000,shipped,Saucemoto® Dip Clip - Black / 2-Pack,M1030-2,1,9.75,1.0,,
29,906746769,2021-08-22T15:45:12.0000000,shipped,Saucemoto® Dip Clip - Gray / 6-Pack,M1040-6,1,23.99,3.0,,
30,906746765,2021-08-22T15:46:09.0000000,shipped,Saucemoto® Dip Clip - Gray / 2-Pack,M1040-2,1,9.75,1.0,,
31,906746762,2021-08-22T15:46:22.0000000,shipped,Saucemoto® Dip Clip - Red / 4-Pack,M1010-4,1,17.49,2.0,,
32,906746758,2021-08-22T15:46:39.0000000,shipped,Saucemoto® Dip Clip - Red / 6-Pack,M1010-6,1,19.2,3.0,,
33,906746754,2021-08-22T15:46:42.0000000,shipped,Saucemoto® Dip Clip - Gray / 4-Pack,M1040-4,1,14.0,2.0,,
34,906746750,2021-08-22T15:46:45.0000000,shipped,Saucemoto® Dip Clip - Gray / 2-Pack,M1040-2,1,9.75,1.0,,
35,906746747,2021-08-22T15:46:58.0000000,shipped,Saucemoto® Dip Clip - Black / 2-Pack,M1030-2,1,13.74,1.0,,
36,906746741,2021-08-22T15:47:19.0000000,shipped,Saucemoto® Easy Gift Pack - Chick-fil-A / Black,BLK/02+CFA10,4,70.37,4.0,,
37,906746735,2021-08-22T15:47:35.0000000,shipped,Saucemoto® Dip Clip - Black / 2-Pack,M1030-2,1,10.53,1.0,,
38,906746733,2021-08-22T15:47:42.0000000,shipped,Saucemoto® Dip Clip - Gray / 2-Pack,M1040-2,1,9.75,1.0,,
39,906746730,2021-08-22T15:49:18.0000000,shipped,Saucemoto® Dip Clip - Red / 2-Pack,M1010-2,1,9.75,1.0,,
40,906746725,2021-08-22T15:49:23.0000000,shipped,Saucemoto® Dip Clip - Red / 4-Pack,M1010-4,1,17.49,2.0,,
41,906746719,2021-08-22T15:53:03.0000000,shipped,Saucemoto® Easy Gift Pack - Chick-fil-A / Red,RED/02+CFA10,1,21.99,1.0,,
42,906746713,2021-08-22T15:56:49.0000000,shipped,Saucemoto® Dip Clip - Red / 2-Pack,M1010-2,1,9.75,1.0,,
43,906746708,2021-08-22T15:56:58.0000000,shipped,Saucemoto® Dip Clip - Red / 4-Pack,M1010-4,1,17.49,2.0,,
44,906746705,2021-08-22T15:57:25.0000000,shipped,Saucemoto® Easy Gift Pack - Chick-fil-A / Black,BLK/02+CFA10,1,17.6,1.0,,
45,906746702,2021-08-22T16:20:03.0000000,shipped,Saucemoto® Dip Clip - Black / 2-Pack,M1030-2,1,9.75,1.0,,
46,906746701,2021-08-22T16:27:55.0000000,shipped,Saucemoto® Dip Clip - Red / 2-Pack,M1010-2,1,9.75,1.0,,
47,906746698,2021-08-22T16:30:43.0000000,shipped,Saucemoto® Dip Clip - Black / 10-Pack,M1030-10/BLK,1,35.29,5.0,,
48,906746696,2021-08-22T17:17:33.0000000,shipped,Saucemoto® Dip Clip - Black / 2-Pack,M1030-2,1,9.75,1.0,,
49,906820343,2021-08-22T18:16:53.0000000,shipped,Saucemoto® Dip Clip - Gray / 2-Pack,M1040-2,1,9.75,1.0,,
50,906820340,2021-08-22T18:38:45.0000000,shipped,Saucemoto® Dip Clip - Red / 2-Pack,M1010-2,1,9.75,1.0,,
51,906820240,2021-08-22T18:39:00.0000000,shipped,Saucemoto® Dip Clip - Black / 2-Pack,M1030-2,1,9.99,1.0,,
52,906820337,2021-08-22T18:40:05.0000000,shipped,Saucemoto® Dip Clip - Red / 4-Pack,M1010-4,1,17.49,2.0,,
53,906820334,2021-08-22T18:42:07.0000000,shipped,Saucemoto® Dip Clip - Gray / 4-Pack,M1040-4,1,18.67,2.0,,
54,906820331,2021-08-22T18:42:09.0000000,shipped,Saucemoto® Easy Gift Pack - Chick-fil-A / Red,RED/02+CFA10,1,17.6,1.0,,
55,906820328,2021-08-22T18:42:44.0000000,shipped,Saucemoto® Dip Clip - Red / 10-Pack,M1010-10/RED,1,35.29,5.0,,
56,906820324,2021-08-22T18:42:46.0000000,shipped,Saucemoto® Dip Clip - Black / 2-Pack,M1030-2,1,9.75,1.0,,
57,906820318,2021-08-22T18:43:17.0000000,shipped,Saucemoto® Dip Clip - Black / 2-Pack,M1030-2,1,9.37,1.0,,
58,906820313,2021-08-22T18:44:12.0000000,shipped,Saucemoto® Dip Clip - Black / 2-Pack,M1030-2,1,9.75,1.0,,
59,906820308,2021-08-22T18:44:45.0000000,shipped,Saucemoto® Dip Clip - Red / 2-Pack,M1010-2,1,9.75,1.0,,
60,906820303,2021-08-22T18:44:46.0000000,shipped,Saucemoto® Dip Clip - Red / 2-Pack,M1010-2,1,9.75,1.0,,
61,906820221,2021-08-22T18:45:00.0000000,shipped,"Saucemoto Dip Clip | An in-car sauce holder for ketchup and dipping sauces. As seen on Shark Tank (10 Pack, Black)",M1030-10/BLK,1,27.99,5.0,,
62,906820225,2021-08-22T18:45:00.0000000,shipped,Saucemoto® Dip Clip - Red / 10-Pack,M1010-10/RED,1,28.99,5.0,,
63,906820227,2021-08-22T18:46:00.0000000,shipped,"Saucemoto Dip Clip | An in-car sauce holder for ketchup and dipping sauces. As seen on Shark Tank (10 Pack, Black)",M1030-10/BLK,1,29.99,5.0,,
64,906820297,2021-08-22T18:46:57.0000000,shipped,Saucemoto® Dip Clip - Gray / 4-Pack,M1040-4,1,14.0,2.0,,
65,906820293,2021-08-22T18:48:13.0000000,shipped,Saucemoto® Dip Clip - Red / 2-Pack,M1010-2,2,15.6,2.0,,
66,906820289,2021-08-22T18:49:10.0000000,shipped,Saucemoto® Dip Clip - Red / 4-Pack,M1010-4,1,14.95,2.0,,
67,906820284,2021-08-22T18:49:19.0000000,shipped,Saucemoto® Dip Clip - Red / 4-Pack,M1010-4,1,14.0,2.0,,
68,906820280,2021-08-22T18:49:37.0000000,shipped,Saucemoto® Dip Clip - Red / 4-Pack,M1010-4,2,34.98,4.0,,
69,906820277,2021-08-22T18:49:44.0000000,shipped,Saucemoto® Dip Clip - Black / 2-Pack,M1030-2,1,9.75,1.0,,
70,906820273,2021-08-22T18:49:51.0000000,shipped,Saucemoto® Dip Clip - Black / 2-Pack,M1030-2,1,9.75,1.0,,
71,906820267,2021-08-22T18:51:06.0000000,shipped,Saucemoto® Dip Clip - Gray / 2-Pack,M1040-2,1,9.75,1.0,,
72,906820263,2021-08-22T18:51:20.0000000,shipped,Saucemoto® Dip Clip - Gray / 4-Pack,M1040-4,1,14.0,2.0,,
73,906820235,2021-08-22T18:53:00.0000000,shipped,"Saucemoto Dip Clip | An in-car sauce holder for ketchup and dipping sauces. As seen on Shark Tank (10 Pack, Black)",M1030-10/BLK,1,27.99,5.0,,
74,906820231,2021-08-22T18:55:00.0000000,shipped,"Saucemoto Dip Clip | An in-car sauce holder for ketchup and dipping sauces. As seen on Shark Tank (10 Pack, Black)",M1030-10/BLK,1,27.99,5.0,,
75,906820258,2021-08-22T18:57:17.0000000,shipped,Saucemoto® Dip Clip - Red / 4-Pack,M1010-4,1,14.0,2.0,,
76,906820254,2021-08-22T18:59:28.0000000,shipped,Saucemoto® Dip Clip - Black / 2-Pack,M1030-2,1,9.75,1.0,,
77,906820251,2021-08-22T18:59:36.0000000,shipped,Saucemoto® Dip Clip - Gray / 4-Pack,M1040-4,1,14.0,2.0,,
78,906820248,2021-08-22T19:00:18.0000000,shipped,Saucemoto® Dip Clip - Red / 4-Pack,M1010-4,1,17.49,2.0,,
79,906820244,2021-08-22T19:14:00.0000000,shipped,Saucemoto® Dip Clip - Red / 10-Pack,M1010-10/RED,1,28.99,5.0,,
80,906820245,2021-08-22T19:27:34.0000000,shipped,Saucemoto® Dip Clip - Red / 2-Pack,M1010-2,1,42.99,1.0,,
81,906820234,2021-08-22T19:38:57.0000000,shipped,Saucemoto® Dip Clip - Black / 2-Pack,M1030-2,1,9.75,1.0,,
82,906820226,2021-08-22T19:49:48.0000000,shipped,Saucemoto® Dip Clip - Red / 4-Pack,M1010-4,1,17.49,2.0,,
83,906873895,2021-08-22T20:35:00.0000000,shipped,Saucemoto® Dip Clip - Black / 2-Pack,M1030-2,1,9.99,1.0,,
84,906873908,2021-08-22T21:22:58.0000000,shipped,Saucemoto® Dip Clip - Red / 4-Pack,M1010-4,1,17.49,2.0,,
85,906873902,2021-08-22T23:04:23.0000000,shipped,Saucemoto® Dip Clip - Red / 2-Pack,M1010-2,1,9.75,1.0,,
86,906873893,2021-08-22T23:14:09.0000000,shipped,Extra Sauce Cup,M1000,1,2.99,0,,
87,906955249,2021-08-23T02:23:25.0000000,shipped,Saucemoto® Dip Clip - Red / 4-Pack,M1010-4,1,14.0,2.0,,
88,907062439,2021-08-23T05:53:48.0000000,shipped,Saucemoto® Easy Gift Pack - McDonald's / Red,RED/02+MCD10,5,175.92,5.0,,
89,907062445,2021-08-23T06:48:00.0000000,shipped,"Saucemoto Dip Clip | An in-car sauce holder for ketchup and dipping sauces. As seen on Shark Tank (10 Pack, Black)",M1030-10/BLK,1,29.99,5.0,,
90,907208560,2021-08-23T07:34:00.0000000,shipped,Saucemoto® Dip Clip - Black / 2-Pack,M1030-2,1,9.99,1.0,,
91,907208558,2021-08-23T07:54:00.0000000,shipped,"Saucemoto Dip Clip | An in-car sauce holder for ketchup and dipping sauces. As seen on Shark Tank (10 Pack, Black)",M1030-10/BLK,1,29.99,5.0,,
92,907328609,2021-08-23T10:53:33.0000000,shipped,Saucemoto® Dip Clip - Gray / 4-Pack,M1040-4,3,52.47,6.0,,
93,907326843,2021-08-23T10:53:35.0000000,shipped,Saucemoto® Dip Clip | An in-car sauce holder for ketchup and dipping sauces | As seen on Shark Tank,M1030-02/BLK,1,13.81,1.0,,
94,907328605,2021-08-23T12:25:26.0000000,shipped,Saucemoto® Dip Clip - Black / 10-Pack,M1030-10/BLK,2,70.58,10.0,,
95,907328681,2021-08-23T12:43:00.0000000,shipped,Saucemoto® Dip Clip - Red / 10-Pack,M1010-10/RED,1,26.99,5.0,,
96,907304808,2021-08-23T12:46:08.0000000,shipped,"Saucemoto Dip Clip | An in-car sauce holder for ketchup and dipping sauces. As seen on Shark Tank (2 Pack, Barbie-Q-Pink)",M1070-02/PNK,1,0.0,1.0,,
97,907307934,2021-08-23T12:46:08.0000000,shipped,Saucemoto® Dip Clip - Black / 2-Pack,BLK/02 (M1030-2),1,0.0,1.0,,
98,907318804,2021-08-23T12:46:08.0000000,shipped,Saucemoto® Dip Clip - Red / 2-Pack,RED/02 (M1010-2),1,3.0,1.0,,
99,907421749,2021-08-23T14:54:32.0000000,shipped,Saucemoto® Dip Clip - Red / 2-Pack,M1010-2,4,39.0,4.0,,
100,,,,,,,,,2018.6200000000001,232.0
